資料時間：民國108年10月11日 10點40分55秒
,核一廠一號機,核一廠二號機,核二廠一號機,核二廠二號機,核三廠一號機,核三廠二號機
運轉狀態,6,6,0,0,0,0
反應爐功率(％),0,0,78,100,99,100
發電量(ＭＷｅ),0,0,778,1013,970,972

運轉狀態數值說明：
0:發電運轉
1:機組大修
2:電腦檢修
3:電腦維護
5:接模擬器
6:機組停機
其他數值:通信維護

核電廠即時資訊備註：
核二廠1、2號機於10/11(五)降載執行例行測試及設備檢修作業，相關作業完成後即恢復滿載運轉。
核三廠2號機於10/13(日)降載執行例行測試作業，相關作業完成後即恢復滿載運轉。
